chrom	pos	strand	min coverage	mod_freq diff kmeans	mod_freq diff knn
ENST00000387347.2	1318	+	233	0.0007655724393921259	0.29993040250550973
ENST00000472174.7	232	+	73	-0.06612223393045302	0.3157270811380401
ENST00000387347.2	394	+	3144	-0.012495994722457882	0.38041277919140515
ENST00000361789.2	213	+	2257	-0.022774921280967475	0.28556337012876387
ENST00000265304.11	128	+	14	-0.2142857142857143	0.4285714285714286
ENST00000472174.7	92	+	72	0.10042735042735043	0.38995726495726496
ENST00000392219.7	289	+	129	0.05417547568710357	0.36301973220577866
ENST00000253788.11	72	+	937	0.00011600389773096242	0.3530214615211071
ENST00000318388.11	672	+	350	-0.05411299028427491	0.41499100395825833
ENST00000362079.2	66	+	7505	0.00971554496429422	0.3245147445368184
ENST00000361789.2	406	+	2536	-0.03142010103131215	0.31782540836044726
ENST00000387347.2	1320	+	229	0.0003460042475004199	0.34864103848998973
ENST00000222247.10	94	+	4810	0.014061298950344359	0.3137344974963855
ENST00000317881.9	975	+	1018	-0.01174055995517119	0.36727226081731584
ENST00000649813.2	59	+	1054	-0.005308945365560314	0.32089152953619315
ENST00000331825.11	443	+	259	0.008445266191745016	0.2852031105552232
ENST00000222247.10	299	+	4827	0.007232741441006191	0.32647224786460893
ENST00000547649.5	278	+	19	-0.1082706766917293	0.14436090225563913
ENST00000651669.1	284	+	1586	0.0032340421693844434	0.3390073288795964
ENST00000274065.9	233	+	61	-0.028812717337307503	0.33507203179334333
ENST00000229239.10	1140	+	1963	0.004758674511273764	0.34384172827709875
ENST00000274065.9	781	+	79	-0.0007534659433393615	0.3003315250150693
ENST00000647248.2	122	+	332	-0.013149944912392908	0.38284998400682374
ENST00000362079.2	68	+	7514	0.14757518008353732	0.3609263354087704
ENST00000343986.9	286	+	2299	0.015066418588550956	0.37459324829749946
ENST00000451311.7	119	+	110	-0.04939081537019685	0.25445173383317715
ENST00000619426.5	682	+	400	-0.0380440900562852	0.3942448405253283
ENST00000368738.4	365	+	4179	0.01715590440193282	0.31933166587707296
ENST00000255688.8	109	+	268	0.042063213345039485	0.1980333625987709
ENST00000361390.2	718	+	2344	-0.0006949831628015879	0.3597381697448766
ENST00000361381.2	45	+	1990	-0.00579612072929514	0.311022196478157
ENST00000229239.10	807	+	1962	-0.00173468919857922	0.3729313707854072
ENST00000270792.10	238	+	593	-0.003410155518081326	0.3448400058293257
ENST00000344795.8	146	+	11	-0.06293706293706294	0.16083916083916078
ENST00000451311.7	140	+	110	0.018369259606373006	0.25810684161199626
ENST00000387347.2	1116	+	869	-0.006071761270676268	0.3876572493209021
ENST00000392219.7	621	+	129	0.010698246517348894	0.33004376555393455
ENST00000314133.4	317	+	1701	-0.0013683506015009783	0.34971184978220293
ENST00000253788.11	227	+	936	0.028658747549302255	0.3462035008136957
ENST00000331817.6	762	+	706	-0.012317427614877974	0.33006757171063117
ENST00000361624.2	600	+	8451	-0.011348274857609364	0.37713160833751114
ENST00000311528.9	314	+	310	0.00479827477760808	0.3016982657920748
ENST00000361624.2	471	+	7198	0.0048937269698487995	0.3628991092195046
ENST00000619426.5	351	+	399	0.04177422919399815	0.37816868625597766
ENST00000343986.9	287	+	2299	0.014717378448934837	0.37622594845471163
ENST00000531188.6	514	+	3240	0.02385085043354354	0.32649501386324686
ENST00000387347.2	1322	+	219	-0.040174974099228725	0.2973792256628679
ENST00000215754.8	281	+	2286	0.0056080865831620585	0.337821729050786
ENST00000270142.10	125	+	234	0.0029137529137529122	0.37499999999999994
ENST00000619426.5	350	+	399	0.04541372192206594	0.4188849233778631
ENST00000598742.6	480	+	2299	0.0078616217354925	0.3319875502177335
